Mosteiro	B-OBRA
de	I-PESSOA
Camões	I-PESSOA
tenha	O
estudado	O
em	O
Santa	B-ORGANIZACAO
Cruz	I-ORGANIZACAO
,	O
uma	O
vez	O
que	O
um	O
parente	O
seu	O
(	O
D.	B-PESSOA
--SENTENCE--	I-PESSOA
Bento	I-PESSOA
de	I-PESSOA
Camões	I-PESSOA
)	O
era	O
prior	O
do	O
mosteiro	O
na	O
época	O
,	O
e	O
há	O
evidências	O
em	O
sua	O
poesia	O
de	O
uma	O
estadia	O
em	O
Coimbra	B-LOCAL
.	O
Preço	O
do	O
barril	O
de	O
crude	O
chegou	O
ao	O
nível	O
histórico	O
de	O
100	B-VALOR
dólares	I-VALOR
03.01.2008	B-TEMPO
--	O
-SENTENCE	O
--	O
08h46	B-TEMPO
Por	O
Lurdes	B-PESSOA
Ferreira	I-PESSOA
Às	B-TEMPO
17h30	I-TEMPO
de	B-TEMPO
ontem	I-TEMPO
em	O
Lisboa	B-LOCAL
,	O
a	O
vaga	O
especulativa	O
do	O
mercado	O
do	O
petróleo	O
convergiu	O
com	O
as	O
previsões	O
dos	B-TEMPO
últimos	I-TEMPO
meses	I-TEMPO
que	O
davam	O
como	O
certa	O
a	O
chegada	O
do	O
preço	O
do	O
crude	O
aos	O
100	B-VALOR
dólares	I-VALOR
.	O
As	O
projecções	O
tornaram-se	O
realidade	O
,	O
ao	B-TEMPO
fim	I-TEMPO
de	I-TEMPO
um	I-TEMPO
ano	I-TEMPO
em	O
que	O
o	O
preço	O
desta	O
matéria	O
subiu	O
58	B-VALOR
por	I-VALOR
cento	I-VALOR
e	O
que	O
foi	O
também	O
o	O
maior	O
aumento	O
anual	O
da	B-TEMPO
última	I-TEMPO
década	I-TEMPO
.	O
O	O
recorde	O
histórico	O
verificou-se	O
na	O
bolsa	O
mercantil	O
de	O
Nova	B-LOCAL
Iorque	I-LOCAL
,	O
com	O
a	O
transacção	O
do	O
crude	O
de	O
tipo	O
leve	O
,	O
de	O
referência	O
para	O
o	O
mercado	O
dos	O
EUA	B-LOCAL
,	O
com	O
entrega	O
para	B-TEMPO
Fevereiro	I-TEMPO
,	O
a	O
pular	O
mais	O
de	O
três	O
dólares	O
numa	O
só	O
sessão	O
e	O
a	O
bater	O
na	O
marca	O
histórica	O
dos	O
100	B-VALOR
dólares	I-VALOR
.	O
Baixou	O
pouco	O
depois	O
para	O
os	O
99,17	B-VALOR
dólares	I-VALOR
.	O
Em	O
Londres	B-LOCAL
,	O
o	O
Brent	B-COISA
do	I-COISA
Mar	I-COISA
do	I-COISA
Norte	I-COISA
,	O
também	O
com	O
entrega	O
para	B-TEMPO
Fevereiro	I-TEMPO
,	O
subiu	O
igualmente	O
mais	O
de	O
três	O
dólares	O
e	O
passou	O
pela	O
primeira	O
vez	O
o	O
patamar	O
dos	O
97	B-VALOR
dólares	I-VALOR
.	O
O	O
novo	O
máximo	O
histórico	O
ficou	O
em	O
97,74	B-VALOR
dólares	I-VALOR
.	O
A	O
onda	O
de	O
violência	O
na	O
Nigéria	B-LOCAL
e	O
a	O
instabilidade	O
no	O
Paquistão	B-LOCAL
são	O
apontadas	O
como	O
o	O
curto-circuito	O
que	O
faltava	O
ao	O
conjunto	O
de	O
pressões	O
acumuladas	O
sobre	O
os	O
preços	O
do	O
crude	O
nos	B-TEMPO
últimos	I-TEMPO
anos	I-TEMPO
.	O
Umas	O
são	O
estruturais	O
:	O
dificuldade	O
da	O
oferta	O
responder	O
a	O
uma	O
crescente	O
procura	O
,	O
com	O
dois	O
países	O
a	O
liderarem	O
a	O
pressão	O
consumista	O
(	O
China	B-PESSOA
,	O
que	O
já	O
é	O
o	O
segundo	O
maior	O
consumidor	O
do	O
mundo	O
,	O
e	O
a	O
Índia	B-PESSOA
)	O
;	O
escassez	O
do	O
sistema	O
de	O
refinação	O
aliada	O
à	O
resistência	O
do	O
cartel	O
dos	O
países	O
exportadores	O
,	O
a	O
OPEP	B-ORGANIZACAO
,	O
em	O
aumentar	O
significativamente	O
a	O
sua	O
produção.	O
Outras	O
são	O
conjunturais	O
:	O
temperaturas	O
frias	O
do	O
pico	O
do	B-TEMPO
Inverno	I-TEMPO
;	O
e	O
a	O
descida	O
das	O
reservas	O
dos	O
EUA	B-LOCAL
,	O
o	O
maior	O
mercado	O
consumidor	O
do	O
mundo.	O
Outras	O
são	O
técnicas	O
e	O
com	O
impacto	O
que	O
promete	O
durar	O
:	O
depreciações	O
do	O
dólar	O
face	O
ao	O
euro	O
,	O
quando	O
esta	O
matéria-prima	O
é	O
cotada	O
na	O
moeda	O
norte-americana	O
e	O
as	O
reservas	O
dos	O
países	O
produtores	O
também	O
são	O
em	O
dólares	O
,	O
ao	O
mesmo	O
tempo	O
que	O
reforça	O
o	O
poder	O
de	O
compra	O
dos	O
investidores	O
munidos	O
de	O
outras	O
divisas.	O
''	O
Vamos	O
aqui	O
ficar	O
[	O
no	O
patamar	O
dos	O
100	B-VALOR
dólares	I-VALOR
]	O
,	O
enquanto	O
houver	O
um	O
desequilíbrio	O
entre	O
a	O
oferta	O
e	O
a	O
procura	O
''	O
,	O
afirmou	O
à	O
France	B-PESSOA
Presse	I-PESSOA
o	O
analista	O
do	O
mercado	O
de	O
capitais	O
da	O
BMO	B-ORGANIZACAO
,	O
Bart	B-PESSOA
Melek	I-PESSOA
.	O
Para	O
este	O
desequilíbrio	O
contribui	O
agora	O
a	O
nova	O
vaga	O
de	O
violência	O
da	O
Nigéria	B-LOCAL
,	O
país	O
que	O
nos	B-TEMPO
últimos	I-TEMPO
anos	I-TEMPO
já	O
perdeu	O
25	B-VALOR
por	I-VALOR
cento	I-VALOR
da	O
sua	O
produção	O
,	O
sendo	O
o	O
primeiro	O
produtor	O
africano	O
,	O
oitavo	O
mundial	O
e	O
quinto	O
fornecedor	O
dos	O
EUA	B-LOCAL
.	O
Para	O
os	O
analistas	O
,	O
o	O
risco	O
de	O
ruptura	O
de	O
fornecimento	O
neste	O
país	O
,	O
com	O
a	O
morte	O
de	O
12	B-VALOR
pessoas	O
na	B-TEMPO
passagem	I-TEMPO
de	I-TEMPO
ano	I-TEMPO
,	O
é	O
agora	O
superior	O
ao	O
que	O
foi	O
nos	B-TEMPO
últimos	I-TEMPO
meses	I-TEMPO
.	O
E	O
contribui	O
também	O
a	O
situação	O
geopolítica	O
no	O
Paquistão	B-LOCAL
,	O
uma	B-TEMPO
semana	I-TEMPO
depois	I-TEMPO
do	O
assassinado	O
de	O
Benazir	B-PESSOA
Bhuto	I-PESSOA
-	O
não	O
sendo	O
um	O
produtor	O
importante	O
,	O
situa-se	O
numa	O
região	O
estratégica	O
para	O
a	O
produção	O
de	O
petróleo.	O
A	O
situação	O
destes	O
dois	O
países	O
``	O
provocou	O
o	O
regresso	O
de	O
muito	O
capital	O
especulativo	O
ao	O
mercado	O
''	O
,	O
segundo	O
o	O
presidente	B-PESSOA
da	I-PESSOA
Ritterbusch	I-PESSOA
&	I-PESSOA
amp	I-PESSOA
;	I-PESSOA
Associates	I-PESSOA
,	O
Jim	B-PESSOA
Ritterbusch	I-PESSOA
,	O
citado	O
pela	O
Reuters	B-LOCAL
.	O
Mas	O
estes	O
não	O
são	O
os	O
únicos	O
dois	O
países	O
em	O
turbulência	O
geopolítica.	O
É	O
também	O
o	O
Quénia	B-LOCAL
,	O
``	O
ao	O
lado	O
da	O
Nigéria	B-LOCAL
,	O
que	O
se	O
incendeia	O
''	O
,	O
diz	O
Moncef	B-PESSOA
Kaabi	I-PESSOA
,	O
da	O
Natixis	B-ORGANIZACAO
,	O
é	O
também	O
a	O
Turquia	B-LOCAL
,	O
com	O
as	O
operações	O
contra	O
os	O
separatistas	O
curdos	O
no	O
Norte	B-LOCAL
,	O
justificando	O
que	O
mercados	O
como	O
o	O
do	O
petróleo	O
``	O
traduzem	O
a	O
inquietação	O
e	O
a	O
incerteza	O
dos	O
investidores	O
''	O
.	O
Por	O
outro	O
lado	O
,	O
os	O
EUA	B-ORGANIZACAO
deverão	O
anunciar	O
ainda	O
hoje	B-TEMPO
a	O
situação	O
dos	O
seus	O
stocks	O
de	O
crude	O
,	O
mas	O
os	O
dados	O
disponíveis	O
antecipam	O
o	O
anúncio	O
de	O
uma	O
nova	O
quebra	O
,	O
pela	B-TEMPO
sétima	I-TEMPO
semana	I-TEMPO
consecutiva	I-TEMPO
,	O
desta	O
vez	O
em	O
1,8	B-VALOR
milhões	I-VALOR
de	O
barris	O
,	O
face	O
ao	O
aumento	O
da	O
actividade	O
das	O
refinarias	O
,	O
de	O
acordo	O
com	O
um	O
inquérito	O
da	O
Reuters	O
.	O
O	O
preço	O
actual	O
do	O
petróleo	O
ficou	O
agora	O
mais	O
próximo	O
do	O
pico	O
de	O
100	B-VALOR
dólares	I-VALOR
de	B-TEMPO
1980	I-TEMPO
provocado	O
pela	O
guerra	O
entre	O
o	O
Irão	B-ORGANIZACAO
e	O
o	O
Iraque	B-ORGANIZACAO
,	O
dois	O
países-membros	O
da	O
OPEP	B-ORGANIZACAO
.	O
O	O
preço	O
de	O
então	O
ajustado	O
à	O
inflação	O
representa	O
hoje	B-TEMPO
101,7	B-VALOR
dólares	I-VALOR
.	O
A	O
convicção	O
dominante	O
no	O
mercado	O
,	O
a	O
avaliar	O
pelos	O
analistas	O
contactados	O
pela	O
Reuters	B-PESSOA
,	O
é	O
a	O
de	O
que	O
o	O
preço	O
desta	O
matéria-prima	O
continuará	O
provavelmente	O
a	O
subir	O
nos	B-TEMPO
próximos	I-TEMPO
cinco	I-TEMPO
anos	I-TEMPO
,	O
a	O
não	O
ser	O
que	O
o	O
crescimento	O
económico	O
abrande	O
e	O
abrande	O
também	O
a	O
procura	O
de	O
combustível.	O
A	O
pressão	O
para	O
a	O
subida	O
de	O
preços	O
que	O
se	O
verifica	O
desde	B-TEMPO
2002	I-TEMPO
continua	O
a	O
ter	O
condições	O
para	O
manter	O
o	O
ritmo	O
:	O
algumas	O
regiões	O
fora	O
da	O
OPEP	B-ORGANIZACAO
,	O
nomeadamente	O
o	O
mar	O
do	O
Norte	B-LOCAL
,	O
têm	O
a	O
sua	O
produção	O
em	O
declínio	O
,	O
a	O
China	B-ORGANIZACAO
mantém	O
um	O
intenso	O
ritmo	O
de	O
procura	O
de	O
combustível	O
e	O
o	O
sistema	O
de	O
refinação	O
continua	O
a	O
enfrentar	O
uma	O
escassez	O
de	O
capacidade	O
para	O
os	O
produtos	O
de	O
grande	O
qualidade.	O
Para	O
analistas	O
como	O
Kris	B-PESSOA
Voorspools	I-PESSOA
,	O
da	O
Fortis	B-ORGANIZACAO
,	O
em	O
Bruxelas	B-LOCAL
,	O
o	O
``	O
preço	O
do	O
petróleo	O
pode	O
continuar	O
a	O
subir	O
''	O
,	O
por	O
se	O
estar	O
perante	O
o	O
``	O
simples	O
fundamento	O
da	O
oferta	O
e	O
da	O
procura	O
''	O
.	O
Mas	O
há	O
quem	O
defenda	O
,	O
embora	O
em	O
minoria	O
,	O
que	O
os	O
preços	O
elevados	O
podem	O
levar	O
a	O
uma	O
recessão	O
global	O
,	O
uma	O
opinião	O
expressa	O
por	O
Nauman	B-PESSOA
Barakat	I-PESSOA
,	O
vice-presidente	B-PESSOA
da	I-PESSOA
Macquarie	I-PESSOA
Futures	I-PESSOA
dos	O
EUA	B-LOCAL
.	O
«	O
PolivalênciaVacas	O
-	O
Para	O
o	O
BCE	B-ORGANIZACAO
somos	O
vacas	O
!	O
!	O
Para	O
o	O
Banco	B-ORGANIZACAO
Central	I-ORGANIZACAO
Europeu	I-ORGANIZACAO
somos	O
gado	O
!	O
!	O
Os	O
politicos	O
comprados	O
por	O
Bruxelas	B-ORGANIZACAO
gerem	O
as	O
manadas	O
nacionais.	O
Se	O
somos	O
mais	O
caros	O
do	O
que	O
produzimos	O
,	O
mais	O
vale	O
abater.	O
Esta	O
é	O
a	O
politica	O
de	O
saude	O
deste	O
admiravel	O
mundo	O
novo.	O
-	O
--	O
-SENTENCE	O
--	O
Fui	O
ontem	B-TEMPO
(	O
terça	B-TEMPO
)	O
às	O
urgencias	O
pediátricas	O
de	O
cascais	O
com	O
a	O
minmha	O
filhiha	O
de	O
4	B-VALOR
anos	I-VALOR
e	O
...	O
``	O
Vai	O
ter	O
que	O
voltar	O
,	O
porque	O
só	O
funciona	O
das	B-TEMPO
08h00	I-TEMPO
às	I-TEMPO
09h00	I-TEMPO
``	O
Desculpem	O
?	O
?	O
Que	O
M	O
...	O
é	O
esta	O
?	O
?	O
!	O
Que	O
grande	O
M	O
...	O
é	O
esta	O
?	O
?	O
!	O
Este	O
é	O
o	O
país	O
real	O
,	O
mas	O
a	O
situação	O
é	O
surreal.	O
Não	O
aconteceu	O
com	O
um	O
amigo	O
,	O
conhecido	O
,	O
ou	O
familiar.	O
Aconteceu	O
COMIGO	O
!	O
!	O
Em	O
primeira	O
mão.	O
Que	O
é	O
que	O
eles	O
querem	O
?	O
Vamos	O
reagir	O
eficaz	O
e	O
eficientemente.	O
1º	O
-	O
Assinar	O
a	O
petição	O
contra	O
o	O
desmembramento	O
,	O
só	O
possivel	O
pela	O
cegueira	O
provocada	O
pela	O
rentabilidade	O
que	O
enche	O
os	O
bolsos	O
de	O
alguns	O
e	O
lixa	O
todos	O
,	O
dos	O
cuidados	O
INDISPENSAVEIS	O
de	O
saude	O
em	O
Portugal	B-LOCAL
.	O
Petição	O
contra	O
esta	O
abominavel	O
realidade	O
2º	O
-	O
Arranjar	O
uma	O
petição	O
de	O
cidadãos	O
a	O
exigir	O
a	O
extinção	O
do	O
BCE	B-ORGANIZACAO
.	O
Quero	O
lá	O
saber	O
se	O
é	O
impossível	O
,	O
retrógrado	O
,	O
ou	O
excessivo.	O
Eles	O
que	O
se	O
cuidem.	O
Tem	O
que	O
ser	O
possível	O
domesticá-los	O
,	O
e	O
se	O
não	O
for	O
,	O
exterminá-los.	O
Que	O
se	O
vão	O
encher	O
para	O
outro	O
planeta.	O
Quem	O
paga	O
os	O
ordenados	O
exorbitantes	O
que	O
eles	O
ganham	O
?	O
Nós	O
!	O
!	O
Para	O
quê	O
!	O
?	O
?	O
Só	O
que	O
não	O
somos	O
gado.	O
Somos	O
cidadão	O
e	O
temos	O
que	O
nos	O
saber	O
fazer	O
respeitar.	O
Portanto	O
,	O
toca	O
a	O
fazer	O
esta	O
petição	O
,	O
para	O
os	O
por	O
em	O
sentido	O
e	O
sentirem	O
cagufa	O
no	O
rabinho	O
!	O
Amadeo	B-PESSOA
de	I-PESSOA
Souza-Cardoso	I-PESSOA
Vida	O
A	O
sua	O
familia	O
era	O
rica	O
e	O
influenciou-o	O
a	O
ingressar	O
no	O
curso	O
de	O
Direito	B-ABSTRACCAO
na	O
Universidade	B-ORGANIZACAO
de	O
Coimbra	B-LOCAL
.	O
Depressa	O
desistiu	O
do	O
curso	O
e	O
mudou-se	O
para	O
o	O
curso	O
de	O
Arquitectura	B-ABSTRACCAO
na	O
Academia	B-ORGANIZACAO
de	I-ORGANIZACAO
Belas	I-ORGANIZACAO
Artes	I-ORGANIZACAO
de	O
Lisboa	B-LOCAL
em	B-TEMPO
1905	I-TEMPO
.	O
O	O
curso	O
nao	O
satisfaz	O
o	O
seu	O
genio	O
criativo	O
,	O
por	O
isso	O
parte	O
para	O
Paris	B-LOCAL
em	B-TEMPO
1906	I-TEMPO
instalando-se	O
em	O
Montparnasse	B-LOCAL
com	O
a	O
intençao	O
de	O
continuar	O
a	O
estudar.	O
As	O
suas	O
primeiras	O
experiências	O
artisticas	O
conhecidas	O
foram	O
desenhos	O
e	O
caricaturas	O
,	O
depois	B-TEMPO
dedicou-se	O
à	O
pintura.	O
Poder-se-á	O
dizer	O
que	O
foi	O
um	O
pintor	O
impressionista	O
,	O
expressionista	O
,	O
cubista	O
,	O
futurista	O
mas	O
sempre	O
recusou	O
qualquer	O
rotulo.	O
Apesar	O
das	O
multiplas	O
influencias	O
procurava	O
a	O
originalidade	O
e	O
a	O
criatividade	O
na	O
sua	O
obra.	O
Em	B-TEMPO
1908	I-TEMPO
instala-se	O
no	O
número	O
catorze	O
da	O
Cité	B-LOCAL
de	I-LOCAL
Falguière	I-LOCAL
.	O
Frequentou	O
ateliers	O
preparatórios	O
para	O
Academia	B-ORGANIZACAO
de	I-ORGANIZACAO
Beaux-Arts	I-ORGANIZACAO
e	O
a	O
Academia	B-ORGANIZACAO
Viti	I-ORGANIZACAO
do	O
pintor	O
catalão	O
Anglada	B-PESSOA
Camarasa	I-PESSOA
mas	O
,	O
apesar	O
disso	O
,	O
nao	O
chega	O
a	O
ser	O
admitido.	O
Em	B-TEMPO
1910	I-TEMPO
esteve	O
alguns	B-TEMPO
meses	I-TEMPO
em	O
Bruxelas	B-LOCAL
e	O
em	B-TEMPO
1911	I-TEMPO
expôs	O
trabalhos	O
no	O
Salon	B-LOCAL
des	I-LOCAL
Indépendants	I-LOCAL
,	O
em	O
Paris	B-LOCAL
,	O
aproximando-se	O
progressivamente	O
das	O
vanguardas	O
e	O
de	O
artistas	O
como	O
Amedeo	B-PESSOA
Modigliani	I-PESSOA
,	O
Constantin	B-PESSOA
Brancusi	I-PESSOA
,	O
Alexander	B-PESSOA
Archipenko	I-PESSOA
,	O
Juan	B-PESSOA
Gris	I-PESSOA
e	O
Robert	B-PESSOA
Delaunay	I-PESSOA
.	O
Em	B-TEMPO
1912	I-TEMPO
publicou	O
um	O
álbum	O
com	O
vinte	O
desenhos	O
e	O
,	O
em	O
seguida	O
,	O
copiou	O
o	O
conto	O
de	O
Gustave	B-PESSOA
Flaubert	I-PESSOA
,	O
``	O
La	B-OBRA
Légende	I-OBRA
de	I-OBRA
Saint	I-OBRA
Julien	I-OBRA
l'Hospitalier	I-OBRA
''	O
,	O
trabalhos	O
ignorados	O
pelos	O
apreciadores	O
de	O
arte.	O
Depois	O
de	O
participar	O
em	B-TEMPO
1913	I-TEMPO
numa	O
exposição	O
com	O
oito	O
trabalhos	O
nos	O
Estados	B-LOCAL
Unidos	I-LOCAL
da	I-LOCAL
América	I-LOCAL
,	O
no	O
Armory	B-ACONTECIMENTO
Show	I-ACONTECIMENTO
,	O
voltou	O
a	O
Portugal	B-LOCAL
,	O
onde	O
teve	O
a	O
ousadia	O
de	O
realizar	O
duas	O
exposições	O
,	O
respectivamente	O
em	O
Porto	B-LOCAL
e	O
em	O
Lisboa	B-LOCAL
.	O
Nesse	B-TEMPO
ano	I-TEMPO
participou	O
ainda	O
no	O
Herbstsalon	B-ACONTECIMENTO
da	O
Galeria	B-LOCAL
Der	I-LOCAL
Sturm	I-LOCAL
,	O
em	O
Berlim	B-LOCAL
.	O
Em	B-TEMPO
1914	I-TEMPO
encontrou-se	O
em	O
Barcelona	B-LOCAL
com	O
Antoni	B-PESSOA
Gaudí	I-PESSOA
,	O
e	O
parte	O
para	O
Madrid	B-LOCAL
onde	O
é	O
surpreendido	O
pelo	O
início	O
da	O
I	B-ACONTECIMENTO
Guerra	I-ACONTECIMENTO
Mundial	I-ACONTECIMENTO
.	O
Regressou	O
então	O
a	O
Portugal	B-LOCAL
,	O
onde	O
iniciou	O
meteórica	O
carreira	O
na	O
experimentação	O
de	O
novas	O
formas	O
de	O
expressão	O
,	O
tendo	O
pintado	O
com	O
grande	O
constância	O
ao	O
ponto	O
de	O
,	O
em	B-TEMPO
1916	I-TEMPO
,	O
expor	O
no	O
Porto	B-LOCAL
114	B-VALOR
obras	O
com	O
o	O
título	O
``	O
Abstraccionismo	B-ABSTRACCAO
''	O
,	O
que	O
serão	O
também	O
expostas	O
em	O
Lisboa	B-LOCAL
,	O
num	O
e	O
noutro	O
caso	O
com	O
novidade	O
e	O
algum	O
escândalo.	O
O	O
cubismo	O
em	O
expansão	O
por	O
toda	O
a	O
Europa	B-LOCAL
foram	O
influências	O
marcantes	O
no	O
seu	O
cubismo	O
analítico.	O
Amadeo	B-PESSOA
de	I-PESSOA
Souza-Cardoso	I-PESSOA
explora	O
o	O
expressionismo	O
e	O
nos	O
seus	O
últimos	O
trabalhos	O
experimenta	O
novas	O
formas	O
e	O
técnicas	O
,	O
como	O
as	O
colagens	O
e	O
outras	O
formas	O
de	O
expressão	O
plástica.	O
Em	B-TEMPO
25	I-TEMPO
de	I-TEMPO
Outubro	I-TEMPO
de	I-TEMPO
1918	I-TEMPO
,	O
aos	O
31	B-VALOR
anos	I-VALOR
de	O
idade	O
,	O
morre	O
prematuramente	O
em	O
Espinho	B-LOCAL
,	O
vítima	O
da	O
``	O
pneumónica	O
''	O
que	O
grassava	O
em	O
Portugal	B-LOCAL
.	O
Prioridades	O
1.	O
Revisão	O
do	O
mecanismo	O
comunitário	O
de	O
protecção	O
civil	O
Desde	B-TEMPO
2005	I-TEMPO
,	O
na	O
sequência	O
de	O
uma	O
proposta	O
da	O
Comissão	B-ORGANIZACAO
Europeia	I-ORGANIZACAO
,	O
o	O
Mecanismo	B-OBRA
Comunitário	I-OBRA
de	I-OBRA
Protecção	I-OBRA
Civil	I-OBRA
foi	O
alvo	O
de	O
uma	O
profunda	O
revisão	O
,	O
a	O
qual	O
decorre	O
também	O
do	O
enquadramento	O
motivado	O
pelo	O
novo	O
Instrumento	B-OBRA
Financeiro	I-OBRA
para	I-OBRA
a	I-OBRA
Protecção	I-OBRA
Civil	I-OBRA
recentemente	O
aprovado.	O
O	O
acordo	O
político	O
quanto	O
à	O
revisão	O
foi	O
obtido	O
durante	O
a	O
Presidência	B-ACONTECIMENTO
Alemã	I-ACONTECIMENTO
,	O
tendo	O
cabido	O
a	O
Portugal	B-ORGANIZACAO
concluir	O
o	O
processo	O
de	O
revisão.	O
Com	O
a	O
adopção	O
da	O
revisão	O
do	O
Mecanismo	B-OBRA
no	O
Conselho	B-ORGANIZACAO
de	I-ORGANIZACAO
Justiça	I-ORGANIZACAO
e	I-ORGANIZACAO
Assuntos	I-ORGANIZACAO
Internos	I-ORGANIZACAO
de	B-TEMPO
8	I-TEMPO
de	I-TEMPO
Novembro	I-TEMPO
,	O
este	O
processo	O
ficou	O
concluído	O
,	O
passando	O
a	O
União	B-ORGANIZACAO
a	O
ficar	O
dotado	O
de	O
um	O
Mecanismo	B-OBRA
mais	O
expedito	O
para	O
resposta	O
a	O
emergências	O
graves.	O
As	O
principais	O
novidades	O
do	O
Mecanismo	B-OBRA
são	O
a	O
clarificação	O
de	O
competências	O
entre	O
a	O
Comissão	B-ORGANIZACAO
e	O
a	O
Presidência	B-ORGANIZACAO
no	O
quadro	O
de	O
intervenções	O
em	O
países	O
terceiros	O
,	O
a	O
existência	O
de	O
competências	O
comunitárias	O
ao	O
nível	O
do	O
transporte	O
e	O
a	O
criação	O
,	O
numa	O
base	O
voluntária	O
,	O
de	O
módulos	O
de	O
protecção	O
civil.	O
2.	O
Sistemas	B-OBRA
de	I-OBRA
Alerta	I-OBRA
Precoce	I-OBRA
A	O
necessidade	O
de	O
melhorar	O
os	O
actuais	O
ou	O
de	O
estabelecer	O
novos	O
Sistemas	B-OBRA
de	I-OBRA
Alerta	I-OBRA
Precoce	I-OBRA
na	O
União	B-LOCAL
Europeia	I-LOCAL
foi	O
reconhecida	O
pelo	O
Conselho	B-ORGANIZACAO
em	O
diversas	O
ocasiões	O
.	O
Em	O
particular	O
,	O
o	O
Conselho	B-ORGANIZACAO
adoptou	O
,	O
em	B-TEMPO
2005	I-TEMPO
,	O
o	O
Programa	B-OBRA
de	I-OBRA
Acção	I-OBRA
para	I-OBRA
Tsunamis	I-OBRA
e	O
afirmou	O
que	O
«	O
A	O
Comissão	B-ORGANIZACAO
é	O
convidada	O
a	O
fazer	O
propostas	O
[	O
envolvendo	O
]	O
a	O
