THANKSGIVING	B-ACONTECIMENTO_EFEMERIDE
Cordas	I-ABSTRACCAO_DISCIPLINA
.	O
Na	O
Cité	B-ORGANIZACAO_INSTITUICAO
Universitaire	I-ORGANIZACAO_INSTITUICAO
arranjou	O
maneira	O
de	O
não	O
ficar	O
muito	B-TEMPO_DURACAO
tempo	I-TEMPO_DURACAO
na	O
Residência	B-LOCAL_HUMANO
André	I-LOCAL_HUMANO
de	I-LOCAL_HUMANO
Gouveia	I-LOCAL_HUMANO
,	O
indo	O
antes	O
para	O
uma	O
casa	O
que	O
era	O
a	O
cara	O
dele	O
-	O
a	O
Deutsche	B-LOCAL_HUMANO
de	I-LOCAL_HUMANO
la	I-LOCAL_HUMANO
Meurthe	I-LOCAL_HUMANO
,	O
a	O
mais	O
antiga	O
,	O
a	O
mais	O
clássica	O
,	O
aquela	O
onde	O
Simone	B-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Beauvoir	I-PESSOA_INDIVIDUAL
ia	O
visitar	O
o	O
estudante	O
Jean-Paul	B-PESSOA_INDIVIDUAL
Sartre	I-PESSOA_INDIVIDUAL
.	O
Quando	O
eu	O
cheguei	O
,	O
deu-me	O
a	O
conhecer	O
a	O
área	O
de	O
Montparnasse	B-LOCAL_HUMANO
e	O
do	O
Port	B-LOCAL_HUMANO
Royal	I-LOCAL_HUMANO
.	O
Nessa	B-TEMPO_TEMPO_CALEND
altura	I-TEMPO_TEMPO_CALEND
era	O
um	O
parisiense	O
com	O
uma	O
costela	O
americana	O
,	O
português	O
q.b.	O
e	O
vagamente	O
judeu.	O
Agora	O
é	O
um	O
americano	O
parisiense	O
,	O
um	O
verdadeiro	O
mangeur	O
de	O
fromage.	O
Pôs	O
a	O
Europa	B-ABSTRACCAO_IDEIA
e	O
a	O
Teoria	B-ABSTRACCAO_DISCIPLINA
das	I-ABSTRACCAO_DISCIPLINA
Cordas	I-ABSTRACCAO_DISCIPLINA
de	O
parte	O
e	O
foi	O
para	O
a	O
melhor	O
cidade	O
da	O
América	B-LOCAL_HUMANO
do	I-LOCAL_HUMANO
Norte	I-LOCAL_HUMANO
mostrar	O
que	O
um	O
físico	O
matemático	O
é	O
pau	O
para	O
toda	O
a	O
obra	O
-	O
nem	O
que	O
seja	O
para	O
mostrar	O
que	O
a	O
Biologia	B-ABSTRACCAO_DISCIPLINA
Celular	I-ABSTRACCAO_DISCIPLINA
é	O
só	O
``	O
quebra	O
de	O
simetria	O
''	O
e	O
que	O
não	O
há	O
nada	O
como	O
o	B-TEMPO_GENERICO
outono	I-TEMPO_GENERICO
na	O
Nova	B-LOCAL_HUMANO
Inglaterra	I-LOCAL_HUMANO
.	O
Que	O
rica	O
prenda	O
de	B-TEMPO_GENERICO
Thanksgiving	I-TEMPO_GENERICO
.	O
Bem	O
vindo	O
,	O
Pedro	B-PESSOA_INDIVIDUAL
.	O
EFEMÉRIDE	O
A	B-TEMPO_TEMPO_CALEND
24	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Novembro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1960	I-TEMPO_TEMPO_CALEND
,	O
no	O
restaurante	O
Le	B-LOCAL_HUMANO
Vrai	I-LOCAL_HUMANO
Gascon	I-LOCAL_HUMANO
(	O
n.º	O
82	O
da	O
rue	O
du	O
Bac	B-LOCAL_HUMANO
,	O
Paris	B-LOCAL_HUMANO
)	O
,	O
em	O
torno	O
dessas	O
figuras	O
majestáticas	O
que	O
eram	O
Raymond	B-PESSOA_INDIVIDUAL
Queneau	I-PESSOA_INDIVIDUAL
e	O
François	B-PESSOA_INDIVIDUAL
Le	I-PESSOA_INDIVIDUAL
Lionnais	I-PESSOA_INDIVIDUAL
,	O
nasceu	O
uma	O
das	O
mais	O
heterodoxas	O
correntes	O
literárias	O
do	B-TEMPO_TEMPO_CALEND
século	I-TEMPO_TEMPO_CALEND
XX	I-TEMPO_TEMPO_CALEND
.	O
Desafio	O
intelectual	O
e	O
brincadeira	O
de	O
literatos	O
apaixonados	O
pela	O
sua	O
língua	O
,	O
explosiva	O
mistura	O
de	O
cérebros	O
moldados	O
pelas	O
leis	O
da	O
gramática	O
e	O
mentes	O
científicas	O
habituadas	O
a	O
todo	O
o	O
tipo	O
de	O
operações	O
lógicas	O
,	O
o	O
OuLiPo	B-ABSTRACCAO_DISCIPLINA
(	O
Ouvroir	B-ABSTRACCAO_DISCIPLINA
de	I-ABSTRACCAO_DISCIPLINA
Littérature	I-ABSTRACCAO_DISCIPLINA
Potentiel	I-ABSTRACCAO_DISCIPLINA
)	O
veio	O
libertar	O
a	O
literatura	O
da	O
forma	O
mais	O
radical	O
:	O
acorrentando-a.	O
Isto	O
é	O
,	O
inventando	O
um	O
sem	O
número	O
de	O
constrangimentos	O
que	O
estimulam	O
a	O
imaginação	O
e	O
a	O
perícia	O
verbal	O
de	O
quem	O
escreve.	O
Na	O
definição	O
sucinta	O
de	O
Queneau	B-PESSOA_INDIVIDUAL
,	O
um	O
autor	O
oulipiano	O
é	O
um	O
«	O
rato	O
que	O
constrói	O
o	O
labirinto	O
do	O
qual	O
se	O
propõe	O
sair	O
»	O
.	O
Um	O
labirinto	O
de	O
palavras	O
,	O
claro	O
;	O
um	O
labirinto	O
textual.	O
E	O
se	O
grande	O
parte	O
da	O
produção	O
destes	O
autores	O
auto-espartilhados	O
não	O
sobrevive	O
fora	O
do	O
contexto	O
em	O
que	O
surgiu	O
,	O
enquanto	O
mecanismo	O
lúdico	O
ou	O
exercício	O
de	O
estilo	O
,	O
o	O
certo	O
é	O
que	O
os	O
processos	O
do	O
OuLiPo	B-ABSTRACCAO_DISCIPLINA
estão	O
inscritos	O
na	O
estrutura	O
de	O
algumas	O
obras-primas	O
de	O
autores	O
como	O
Italo	B-PESSOA_INDIVIDUAL
Calvino	I-PESSOA_INDIVIDUAL
(	O
Se	B-OBRA_REPRODUZIDA
Numa	I-OBRA_REPRODUZIDA
Noite	I-OBRA_REPRODUZIDA
de	I-OBRA_REPRODUZIDA
Inverno	I-OBRA_REPRODUZIDA
um	I-OBRA_REPRODUZIDA
Viajante	I-OBRA_REPRODUZIDA
)	O
ou	O
Georges	B-PESSOA_INDIVIDUAL
Perec	I-PESSOA_INDIVIDUAL
(	O
A	B-OBRA_REPRODUZIDA
Vida	I-OBRA_REPRODUZIDA
Modo	I-OBRA_REPRODUZIDA
de	I-OBRA_REPRODUZIDA
Usar	I-OBRA_REPRODUZIDA
;	O
La	B-OBRA_REPRODUZIDA
Disparition	I-OBRA_REPRODUZIDA
;	O
etc	O
)	O
.	O
Quanto	O
mais	O
não	O
fosse	O
por	O
isso	O
,	O
já	O
valeria	O
a	O
pena	O
celebrar	O
os	B-TEMPO_GENERICO
45	I-TEMPO_GENERICO
anos	I-TEMPO_GENERICO
de	O
um	O
movimento	O
que	O
continua	O
activo	O
e	O
em	O
expansão	O
(	O
investigar	O
aqui	O
)	O
.	O
P	O
:	O
Então	O
tu	O
passaste	O
uma	O
infância	O
muito	O
sozinha	O
?	O
Bem	O
,	O
na	O
província	O
,	O
às	B-TEMPO_FREQUENCIA
vezes	I-TEMPO_FREQUENCIA
brincava	O
com	O
outros	O
meninos	O
filhos	O
do	O
...	O
ou	O
doutras	O
pessoas	O
do	O
tribunal	O
,	O
ou	O
da	O
rua	O
,	O
até.	O
Brincava	O
...	O
Ali	O
,	O
em	O
Alenquer	B-LOCAL_HUMANO
.	O
Porque	O
depois	B-TEMPO_TEMPO_CALEND
viemos	O
,	O
voltámos	O
para	O
Lisboa	B-LOCAL_HUMANO
,	O
o	O
meu	O
pai	O
esteve	O
então	O
,	O
se	O
não	O
me	O
engano	O
,	O
como	O
...	O
chefe	O
de	O
gabinete	O
do	O
Ministro	B-PESSOA_CARGO
da	I-PESSOA_CARGO
Justiça	I-PESSOA_CARGO
,	O
por	O
isso	O
,	O
voltámos	O
,	O
que	O
era	O
o	O
dr.	B-PESSOA_INDIVIDUAL
--SENTENCE--	I-PESSOA_INDIVIDUAL
Catanho	I-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Meneses	I-PESSOA_INDIVIDUAL
.	O
Voltámos	O
para	O
Lisboa	B-LOCAL_HUMANO
e	O
foi	O
quando	O
saímos	O
de	O
Santa	B-LOCAL_HUMANO
Quitéria	I-LOCAL_HUMANO
para	O
a	O
Rua	B-LOCAL_HUMANO
Sampaio	I-LOCAL_HUMANO
Pina	I-LOCAL_HUMANO
.	O
E	O
na	O
Rua	B-LOCAL_HUMANO
Sampaio	I-LOCAL_HUMANO
Pina	I-LOCAL_HUMANO
,	O
que	O
era	O
ao	O
lado	O
do	O
Rádio	B-LOCAL_HUMANO
Clube	I-LOCAL_HUMANO
Português	I-LOCAL_HUMANO
,	O
a	O
casa	O
que	O
ainda	O
existe	O
hoje	B-TEMPO_GENERICO
e	O
faz	O
esquina	O
para	O
a	O
rua	O
Castilho	B-LOCAL_HUMANO
,	O
no	O
primeiro	O
andar	O
,	O
então	O
alugámos	O
essa	O
casa	O
,	O
e	O
aí	O
então	O
é	O
que	O
eu	O
comecei	O
foi	O
a	O
aprender	O
o	O
alemão	O
com	O
uma	O
preceptora	O
alemã	O
,	O
que	O
era	O
...	O
que	O
vinha	O
três	B-TEMPO_FREQUENCIA
vezes	I-TEMPO_FREQUENCIA
por	I-TEMPO_FREQUENCIA
semana	I-TEMPO_FREQUENCIA
,	O
dar-me	O
lição	O
de	O
alemão.	O
Não	O
estava	O
lá	O
em	O
casa	O
,	O
havia	O
preceptoras	O
internas	O
,	O
que	O
estavam	O
dentro	O
,	O
que	O
eram	O
internas	O
,	O
estavam	O
lá	O
,	O
nas	O
casas	O
dos	O
respectivos	O
alunos	O
,	O
mas	O
aquela	O
senhora	O
,	O
a	O
Kaethe	B-PESSOA_INDIVIDUAL
Goethe	I-PESSOA_INDIVIDUAL
,	O
não.	O
Vinha	O
três	B-TEMPO_FREQUENCIA
vezes	I-TEMPO_FREQUENCIA
por	I-TEMPO_FREQUENCIA
semana	I-TEMPO_FREQUENCIA
dar-me	O
a	O
lição	O
de	O
alemão.	O
D	O
:	O
E	O
tu	O
gostavas	O
?	O
Gostava	O
!	O
Tinha	O
uns	O
livros	O
assim	O
muito	O
engraçados	O
,	O
que	O
ainda	O
hoje	B-TEMPO_GENERICO
conheces	O
,	O
que	O
conservo.	O
D	O
:	O
E	O
ela	O
era	O
professora	O
?	O
Ela	O
era	O
professora	O
mesmo	O
,	O
ou	O
?	O
Era	O
professora	O
,	O
quero	O
dizer	O
ela	O
veio	O
para	O
Portugal	B-LOCAL_HUMANO
dar	O
aulas.	O
Não	O
sei	O
se	O
veio	O
interna	O
para	O
uma	O
casa	O
e	O
depois	B-TEMPO_TEMPO_CALEND
deixou	O
,	O
estava	O
...	O
D	O
:	O
Mas	O
enfim	O
,	O
não	O
é	O
uma	O
senhora	O
alemã	O
que	O
dava	O
umas	O
aulinhas	O
para	O
...	O
para	O
Não	O
,	O
ela	O
era	O
uma	O
senhora	O
que	O
tinha	O
vindo	O
da	O
Alemanha	B-LOCAL_HUMANO
só	O
para	O
ser	O
professora	O
,	O
e	O
tinha	O
...	O
tinha-se	O
instalado	O
numa	O
casa	O
que	O
era	O
o	O
lar	O
das	O
...	O
das	O
professoras	O
de	O
alemão	O
,	O
que	O
havia	O
nessa	B-TEMPO_TEMPO_CALEND
altura	I-TEMPO_TEMPO_CALEND
,	O
na	O
Avenida	B-LOCAL_HUMANO
,	O
perto	O
da	O
Praça	B-LOCAL_HUMANO
da	I-LOCAL_HUMANO
Alegria	I-LOCAL_HUMANO
.	O
Lembro-me	O
de	O
ela	O
lá	O
me	O
ter	O
levado	O
e	O
tenho	O
aí	O
até	O
fotografias	O
de	O
um	O
cão	O
,	O
desse	O
dito	O
lar	O
,	O
a	O
querer	O
abraçar-me	O
,	O
coisa	O
que	O
eu	O
não	O
gostei	O
nada	O
,	O
como	O
continuo	O
a	O
não	O
gostar	O
de	O
abraços	O
de	O
cão.	O
D	O
:	O
Mas	O
já	O
tinhas	O
o	O
Sirius	B-COISA_OBJECTO
...	O
Não	O
,	O
o	O
Sirius	B-COISA_OBJECTO
veio	O
muitíssimo	B-TEMPO_TEMPO_CALEND
mais	I-TEMPO_TEMPO_CALEND
tarde	I-TEMPO_TEMPO_CALEND
.	O
Não	O
,	O
na	O
Sampaio	B-LOCAL_HUMANO
Pina	I-LOCAL_HUMANO
não	O
tinha	O
o	O
Sirius	B-COISA_OBJECTO
,	O
não	O
tinha	O
cão	O
nenhum.	O
D	O
:	O
Então	O
tinhas	O
a	O
tua	O
mãe	O
,	O
como	O
professora	O
de	O
tudo	O
o	O
resto	O
e	O
a	O
senhora	O
Pois	O
,	O
o	O
resto	O
,	O
tinha	O
grandes	O
amigas	O
sempre.	O
Constante	O
,	O
até	O
era	O
,	O
mais	O
até	O
que	O
as	O
minhas	O
primas	O
...	O
tinha	O
as	O
minhas	O
primas	O
,	O
e	O
tinha	O
a	O
Joaninha	B-PESSOA_INDIVIDUAL
Sampaio	I-PESSOA_INDIVIDUAL
e	I-PESSOA_INDIVIDUAL
Melo	I-PESSOA_INDIVIDUAL
,	O
que	O
era	O
filha	O
da	O
maior	O
amiga	O
da	O
minha	O
mãe	O
,	O
da	O
Lourinhã	B-LOCAL_HUMANO
.	O
Tabaco	O
:	O
Associação	B-ORGANIZACAO_INSTITUICAO
lamenta	O
exemplo	O
de	O
presidente	B-PESSOA_CARGO
da	I-PESSOA_CARGO
ASAE	I-PESSOA_CARGO
O	O
presidente	B-PESSOA_CARGO
da	I-PESSOA_CARGO
Confederação	I-PESSOA_CARGO
Portuguesa	I-PESSOA_CARGO
para	I-PESSOA_CARGO
a	I-PESSOA_CARGO
Prevenção	I-PESSOA_CARGO
do	I-PESSOA_CARGO
Tabagismo	I-PESSOA_CARGO
(	O
CPPT	B-ORGANIZACAO_INSTITUICAO
)	O
considerou	O
hoje	B-TEMPO_TEMPO_CALEND
«	O
um	O
exemplo	O
lamentável	O
»	O
o	O
facto	O
de	O
o	O
presidente	B-PESSOA_CARGO
da	I-PESSOA_CARGO
Confederação	I-PESSOA_CARGO
Portuguesa	I-PESSOA_CARGO
para	I-PESSOA_CARGO
a	I-PESSOA_CARGO
Prevenção	I-PESSOA_CARGO
do	I-PESSOA_CARGO
Tabagismo	I-PESSOA_CARGO
ter	O
sido	O
fotografado	O
a	O
fumar	O
num	O
casino	O
depois	O
da	O
entrada	O
em	O
vigor	O
da	O
lei	O
do	O
Tabaco	B-OBRA_PLANO
.	O
António	B-PESSOA_INDIVIDUAL
Nunes	I-PESSOA_INDIVIDUAL
,	O
presidente	B-PESSOA_CARGO
da	I-PESSOA_CARGO
Autoridade	I-PESSOA_CARGO
de	I-PESSOA_CARGO
Segurança	I-PESSOA_CARGO
Alimentar	I-PESSOA_CARGO
e	I-PESSOA_CARGO
Económica	I-PESSOA_CARGO
(	O
ASAE	B-ORGANIZACAO_INSTITUICAO
)	O
,	O
uma	O
das	O
entidades	O
que	O
irá	O
fiscalizar	O
a	O
aplicação	O
da	O
lei	O
que	O
proibe	O
o	O
fumo	O
em	O
espaços	O
fechados	O
de	O
utilização	O
pública	O
,	O
foi	O
fotografado	O
pelo	O
Diário	B-PESSOA_GRUPOMEMBRO
de	I-PESSOA_GRUPOMEMBRO
Notícias	I-PESSOA_GRUPOMEMBRO
(	O
DN	B-PESSOA_GRUPOMEMBRO
)	O
a	O
fumar	O
uma	O
cigarrilha	O
no	O
Casino	B-LOCAL_HUMANO
do	O
Estoril	B-LOCAL_HUMANO
às	B-TEMPO_TEMPO_CALEND
02.30	I-TEMPO_TEMPO_CALEND
da	I-TEMPO_TEMPO_CALEND
manhã	I-TEMPO_TEMPO_CALEND
do	B-TEMPO_TEMPO_CALEND
dia	I-TEMPO_TEMPO_CALEND
01	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Janeiro	I-TEMPO_TEMPO_CALEND
.	O
Em	O
explicações	O
ao	O
DN	B-ORGANIZACAO_EMPRESA
,	O
António	B-PESSOA_INDIVIDUAL
Nunes	I-PESSOA_INDIVIDUAL
considerou	O
que	O
a	O
nova	O
lei	O
«	O
não	O
proíbe	O
expressamente	O
o	O
tabaco	O
nos	O
casinos	O
e	O
nas	O
salas	O
de	O
jogos	O
»	O
,	O
justificando	O
com	O
a	O
existência	O
de	O
um	O
conflito	O
de	O
interesses	O
com	O
a	O
lei	O
do	O
jogo	O
,	O
que	O
contudo	O
,	O
não	O
faz	O
qualquer	O
referência	O
ao	O
consumo	O
de	O
tabaco.	O
No	O
entanto	O
,	O
um	O
parecer	O
da	O
Direcção	B-ORGANIZACAO_INSTITUICAO
Geral	I-ORGANIZACAO_INSTITUICAO
de	I-ORGANIZACAO_INSTITUICAO
Saúde	I-ORGANIZACAO_INSTITUICAO
a	O
que	O
a	O
Lusa	B-ORGANIZACAO_EMPRESA
teve	O
acesso	O
sexta-feira	B-TEMPO_TEMPO_CALEND
indica	O
que	O
os	O
casinos	O
e	O
salas	O
de	O
jogo	O
«	O
sendo	O
locais	O
fechados	O
não	O
podem	O
deixar	O
de	O
se	O
incluir	O
no	O
âmbito	O
da	O
aplicação	O
a	O
lei	O
»	O
,	O
além	O
de	O
estarem	O
abrangidos	O
na	O
lei	O
por	O
«	O
serem	O
locais	O
de	O
trabalho	O
»	O
.	O
«	O
Trata-se	O
de	O
uma	O
daquelas	O
situações	O
inoportunas	O
e	O
um	O
exemplo	O
lamentável	O
que	O
nos	O
mostra	O
que	O
estamos	O
em	O
face	O
de	O
uma	O
dependência	O
grave	O
»	O
,	O
disse	O
à	O
Lusa	B-ORGANIZACAO_EMPRESA
o	O
presidente	B-PESSOA_CARGO
da	I-PESSOA_CARGO
Confederação	I-PESSOA_CARGO
Portuguesa	I-PESSOA_CARGO
para	I-PESSOA_CARGO
a	I-PESSOA_CARGO
Prevenção	I-PESSOA_CARGO
do	I-PESSOA_CARGO
Tabagismo	I-PESSOA_CARGO
,	O
Luís	B-PESSOA_INDIVIDUAL
Rebelo	I-PESSOA_INDIVIDUAL
.	O
Luís	B-PESSOA_INDIVIDUAL
Rebelo	I-PESSOA_INDIVIDUAL
desvalorizou	O
contudo	O
o	O
impacto	O
desta	O
situação	O
na	O
aplicação	O
da	O
nova	O
lei	O
e	O
atribuiu	O
a	O
atitude	O
de	O
António	B-PESSOA_INDIVIDUAL
Nunes	I-PESSOA_INDIVIDUAL
a	O
«	O
um	O
automatismo	O
»	O
inconsciente.	O
Sobre	O
as	O
dúvidas	O
manifestadas	O
pelo	O
máximo	O
responsável	O
da	O
ASAE	B-ORGANIZACAO_INSTITUICAO
relativamente	O
ao	O
âmbito	O
de	O
aplicação	O
da	O
nova	O
lei	O
,	O
Luís	B-PESSOA_INDIVIDUAL
Rebelo	I-PESSOA_INDIVIDUAL
considerou	O
que	O
a	O
legislação	O
«	O
é	O
clara	O
»	O
quanto	O
à	O
proibição	O
de	O
fumar	O
nos	O
casinos	O
e	O
salas	O
de	O
jogos.	O
«	O
Não	O
pode	O
haver	O
dúvidas	O
quanto	O
à	O
aplicação	O
da	O
lei	O
sobretudo	O
ao	O
nível	O
das	O
entidades	O
responsáveis	O
pela	O
sua	O
fiscalização	O
»	O
,	O
disse.	O
Sobre	O
os	B-TEMPO_GENERICO
primeiros	I-TEMPO_GENERICO
dias	I-TEMPO_GENERICO
da	O
vigência	O
da	O
proibição	O
de	O
fumar	O
em	O
espaços	O
de	O
uso	O
colectivo	O
fechados	O
,	O
Luís	B-PESSOA_INDIVIDUAL
Rebelo	I-PESSOA_INDIVIDUAL
considerou	O
que	O
a	O
lei	O
está	O
a	O
ter	O
«	O
uma	O
óptima	O
»	O
aplicação	O
com	O
«	O
a	O
generalidade	O
dos	O
fumadores	O
a	O
compreender	O
a	O
proibição	O
»	O
.	O
A	O
lei	O
do	O
Tabaco	B-OBRA_PLANO
,	O
que	O
proíbe	O
o	O
fumo	O
nos	O
serviços	O
da	O
administração	O
pública	O
,	O
restaurantes	O
,	O
bares	O
,	O
discotecas	O
ou	O
centros	O
comerciais	O
,	O
entrou	O
em	O
vigor	O
às	B-TEMPO_TEMPO_CALEND
00:00	I-TEMPO_TEMPO_CALEND
do	B-TEMPO_TEMPO_CALEND
dia	I-TEMPO_TEMPO_CALEND
01	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Janeiro	I-TEMPO_TEMPO_CALEND
.	O
A	O
Lusa	B-ORGANIZACAO_EMPRESA
tentou	O
contactar	O
o	O
porta-voz	B-PESSOA_CARGO
da	I-PESSOA_CARGO
ASAE	I-PESSOA_CARGO
para	O
obter	O
esclarecimentos	O
adicionais	O
mas	O
tal	O
foi	O
impossível	O
até	B-TEMPO_TEMPO_CALEND
ao	I-TEMPO_TEMPO_CALEND
momento	I-TEMPO_TEMPO_CALEND
.	O
Associação	B-ORGANIZACAO_INSTITUICAO
Académica	I-ORGANIZACAO_INSTITUICAO
de	O
Coimbra	B-LOCAL_HUMANO
A	O
Associação	B-ORGANIZACAO_INSTITUICAO
Académica	I-ORGANIZACAO_INSTITUICAO
de	O
Coimbra	B-LOCAL_HUMANO
(	O
AAC	B-ORGANIZACAO_INSTITUICAO
)	O
,	O
fundada	O
a	B-TEMPO_TEMPO_CALEND
3	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Novembro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1887	I-TEMPO_TEMPO_CALEND
,	O
é	O
a	O
mais	O
antiga	O
associação	O
de	O
estudantes	O
de	O
Portugal	B-LOCAL_HUMANO
.	O
Representa	O
os	O
cerca	B-VALOR_QUANTIDADE
de	I-VALOR_QUANTIDADE
20	I-VALOR_QUANTIDADE
000	I-VALOR_QUANTIDADE
estudantes	O
da	O
Universidade	B-ORGANIZACAO_INSTITUICAO
de	O
Coimbra	B-LOCAL_HUMANO
,	O
que	O
são	O
automaticamente	O
considerados	O
seus	O
sócios	O
quando	O
se	O
encontrem	O
inscritos	O
nesta	O
universidade.	O
A	O
AAC	B-ORGANIZACAO_INSTITUICAO
alberga	O
uma	O
série	O
de	O
secções	O
culturais	O
e	O
desportivas.	O
Entre	O
as	O
secções	O
culturais	O
pontificam	O
,	O
o	O
Centro	B-ORGANIZACAO_INSTITUICAO
de	I-ORGANIZACAO_INSTITUICAO
Estudos	I-ORGANIZACAO_INSTITUICAO
Cinematográficos	I-ORGANIZACAO_INSTITUICAO
(	O
CEC	B-ORGANIZACAO_INSTITUICAO
)	O
que	O
realiza	O
anualmente	B-TEMPO_FREQUENCIA
o	O
Festival	O
``	O
Caminhos	B-ACONTECIMENTO_ORGANIZADO
do	I-ACONTECIMENTO_ORGANIZADO
Cinema	I-ACONTECIMENTO_ORGANIZADO
Português	I-ACONTECIMENTO_ORGANIZADO
``	O
,	O
a	O
Rádio	B-ORGANIZACAO_INSTITUICAO
Universidade	I-ORGANIZACAO_INSTITUICAO
de	I-ORGANIZACAO_INSTITUICAO
Coimbra	I-ORGANIZACAO_INSTITUICAO
(	O
RUC	B-ORGANIZACAO_INSTITUICAO
)	O
,	O
a	O
Secção	B-ORGANIZACAO_INSTITUICAO
de	I-ORGANIZACAO_INSTITUICAO
Jornalismo	I-ORGANIZACAO_INSTITUICAO
(	O
que	O
edita	O
o	O
jornal	O
universitário	O
``	O
A	B-COISA_CLASSE
Cabra	I-COISA_CLASSE
``	O
)	O
,	O
a	O
secção	O
de	O
fado	O
,	O
o	O
Grupo	O
de	O
folclore	O
e	O
etnografia	O
(	O
GEFAC	B-PESSOA_GRUPOMEMBRO
)	O
e	O
os	O
grupos	O
de	O
teatro	O
(	O
TEUC	B-PESSOA_GRUPOMEMBRO
e	O
CITAC	B-PESSOA_GRUPOMEMBRO
)	O
.	O
As	O
secções	O
desportivas	O
abrangem	O
um	O
vasto	O
leque	O
de	O
desportos	O
,	O
tais	O
como	O
o	O
futebol	O
,	O
andebol	O
,	O
basquetebol	O
,	O
rugby	O
,	O
conoagem	O
,	O
natação	O
,	O
voleibol	O
,	O
ténis	O
,	O
artes	O
marciais	O
e	O
xadrez	O
,	O
entre	O
outros.	O
A	O
``	O
Académica	B-PESSOA_GRUPOMEMBRO
``	O
é	O
assim	O
o	O
``	O
clube	O
''	O
mais	O
eclético	O
do	O
pais	O
,	O
uma	O
vez	O
que	O
``	O
pratica	O
''	O
o	O
maior	O
número	O
de	O
modalidades.	O
Também	O
referido	O
como	O
``	O
Académica	B-ABSTRACCAO_NOME
``	O
,	O
o	O
clube	O
de	O
futebol	O
profissional	O
mais	O
conhecido	O
de	O
Coimbra	B-LOCAL_HUMANO
,	O
de	O
seu	O
verdadeiro	O
nome	O
Associação	B-ABSTRACCAO_NOME
Académica	I-ABSTRACCAO_NOME
de	I-ABSTRACCAO_NOME
Coimbra	I-ABSTRACCAO_NOME
-	I-ABSTRACCAO_NOME
Organismo	I-ABSTRACCAO_NOME
Autónomo	I-ABSTRACCAO_NOME
de	I-ABSTRACCAO_NOME
Futebol	I-ABSTRACCAO_NOME
(	O
AAC-OAF	B-ABSTRACCAO_NOME
)	O
,	O
é	O
considerado	O
o	O
herdeiro	O
da	O
secção	O
de	O
futebol	O
da	O
