Mosteiro	B-OBRA_ARTE
ou	O
seja	O
,	O
a	O
utilização	O
de	O
manipulações	O
orgânicas	O
do	O
cérebro	O
para	O
curar	O
ou	O
melhorar	O
sintomas	O
de	O
uma	O
patologia	O
psiquiátrica	O
(	O
em	O
contrapartida	O
à	O
neurocirurgia	O
que	O
se	O
ocupa	O
de	O
doentes	O
com	O
patologia	O
orgânica	O
directa	O
ou	O
neurológica	O
)	O
.	O
Inicialmente	O
foi	O
usada	O
para	O
tratar	O
depressão	O
severa.	O
Egas	B-PESSOA_INDIVIDUAL
Moniz	I-PESSOA_INDIVIDUAL
sempre	O
defendeu	O
o	O
seu	O
uso	O
apenas	O
em	O
casos	O
graves	O
em	O
que	O
houvesse	O
risco	O
de	O
violência	O
ou	O
suicídio.	O
No	O
entanto	O
apesar	O
de	O
cerca	B-VALOR_QUANTIDADE
de	I-VALOR_QUANTIDADE
6	I-VALOR_QUANTIDADE
%	I-VALOR_QUANTIDADE
dos	O
pacientes	O
não	O
sobreviverem	O
à	O
operação	O
,	O
e	O
de	O
vários	O
outros	O
ficarem	O
com	O
alterações	O
da	O
personalidade	O
muito	O
severos	O
,	O
foi	O
praticada	O
com	O
entusiasmo	O
excessivo	O
em	O
muitos	O
paises	O
,	O
nomeadamente	O
o	O
Japão	B-LOCAL_HUMANO
e	O
os	O
Estados	B-LOCAL_HUMANO
Unidos	I-LOCAL_HUMANO
.	O
Neste	O
último	O
país	O
foi	O
popularizada	O
pelo	O
cirurgião	O
Walter	B-PESSOA_INDIVIDUAL
Freeman	I-PESSOA_INDIVIDUAL
,	O
que	O
divulgou	O
a	O
técnica	O
por	O
todo	O
o	O
seu	O
país	O
,	O
percorrendo	O
o	O
no	O
seu	O
Lobotomobile	B-COISA_MEMBROCLASSE
,	O
e	O
criando	O
inclusivamente	O
uma	O
variante	O
em	O
que	O
espetava	O
um	O
picador	O
de	O
gelo	O
directamente	O
no	O
crânio	O
do	O
doente	O
,	O
desde	O
um	O
ponto	O
logo	O
acima	O
do	O
canal	O
lacrimal	O
com	O
a	O
ajuda	O
de	O
um	O
martelo	O
,	O
rodando-se	O
depois	O
o	O
mesmo	O
para	O
destruir	O
as	O
vias	O
aí	O
localizadas.	O
Supostamente	O
a	O
atractividade	O
deste	O
procedimento	O
seria	O
o	O
seu	O
baixo	O
custo	O
e	O
o	O
desejo	O
social	O
de	O
silenciar	O
doentes	O
psiquiátricos	O
incómodos.	O
A	O
leucotomia	O
ganhou	O
tal	O
popularidade	O
que	O
foi	O
inclusivamente	O
praticada	O
em	O
crianças	O
com	O
mau	O
comportamento.	O
Cerca	B-VALOR_QUANTIDADE
de	I-VALOR_QUANTIDADE
50.000	I-VALOR_QUANTIDADE
doentes	O
foram	O
tratados	O
só	O
nos	O
Estados	B-LOCAL_HUMANO
Unidos	I-LOCAL_HUMANO
.	O
Com	O
a	O
ajuda	O
destes	O
abusos	O
,	O
a	O
leucotomia	O
foi	O
abandonada	O
quando	O
surgiram	O
os	O
primeiros	O
fármacos	O
antipsicóticos.	O
Durante	B-TEMPO_DURACAO
muito	I-TEMPO_DURACAO
tempo	I-TEMPO_DURACAO
foi	O
considerada	O
algo	O
injustamente	O
como	O
um	O
episódio	O
barbárico	O
na	O
história	O
da	O
Psiquiatria	B-ABSTRACCAO_DISCIPLINA
,	O
sendo	O
comum	O
a	O
comparação	O
à	O
técnica	O
da	O
flebotomia	O
(	O
ou	O
sangria	O
)	O
na	O
história	O
da	O
medicina	O
interna.	O
US	B-ACONTECIMENTO_ORGANIZADO
Open	I-ACONTECIMENTO_ORGANIZADO
:	O
Federer	B-PESSOA_INDIVIDUAL
campeão	O
PELO	O
QUARTO	O
ANO	O
CONSECUTIVO	O
Roger	B-PESSOA_INDIVIDUAL
Federer	I-PESSOA_INDIVIDUAL
conquistou	O
este	B-TEMPO_TEMPO_CALEND
domingo	I-TEMPO_TEMPO_CALEND
pela	O
quarta	O
vez	O
consecutiva	O
o	O
US	B-ACONTECIMENTO_ORGANIZADO
Open	I-ACONTECIMENTO_ORGANIZADO
,	O
ao	O
bater	O
na	O
final	O
o	O
sérvio	O
Novak	B-PESSOA_INDIVIDUAL
Djokovic	I-PESSOA_INDIVIDUAL
por	O
7-6	B-VALOR_CLASSIFICACAO
(	I-VALOR_CLASSIFICACAO
4	I-VALOR_CLASSIFICACAO
)	I-VALOR_CLASSIFICACAO
,	O
7-6	B-VALOR_CLASSIFICACAO
(	I-VALOR_CLASSIFICACAO
2	I-VALOR_CLASSIFICACAO
)	I-VALOR_CLASSIFICACAO
e	O
6-4	B-VALOR_CLASSIFICACAO
.	O
Com	O
este	O
triunfo	O
,	O
o	O
suíço	O
contabiliza	O
12	B-VALOR_QUANTIDADE
vitórias	O
em	O
torneios	O
do	O
Grand	B-ACONTECIMENTO_ORGANIZADO
Slam	I-ACONTECIMENTO_ORGANIZADO
,	O
aproximando-se	O
do	O
recorde	O
de	O
14	B-VALOR_QUANTIDADE
,	O
que	O
pertence	O
a	O
Pete	B-PESSOA_INDIVIDUAL
Sampras	I-PESSOA_INDIVIDUAL
.	O
A	O
final	O
demorou	O
2.26	B-TEMPO_DURACAO
horas	I-TEMPO_DURACAO
e	O
o	O
líder	O
mundial	O
fez	O
11	B-VALOR_QUANTIDADE
ases	O
contra	O
apenas	O
5	B-VALOR_QUANTIDADE
do	O
sérvio.	O
Ao	O
helvético	O
apenas	O
lhe	O
falta	O
o	O
título	O
no	O
Open	B-ACONTECIMENTO_ORGANIZADO
de	O
França	B-LOCAL_HUMANO
,	O
em	O
Roland	B-LOCAL_HUMANO
Garros	I-LOCAL_HUMANO
.	O
Entretanto	O
,	O
a	O
francesa	O
Nathalie	B-PESSOA_INDIVIDUAL
Dechy	I-PESSOA_INDIVIDUAL
conquistou	O
o	O
seu	O
segundo	O
título	O
consecutivo	O
em	O
pares	O
femininos.	O
Dechy	B-PESSOA_INDIVIDUAL
e	O
a	O
russa	O
Dinara	B-PESSOA_INDIVIDUAL
Safina	I-PESSOA_INDIVIDUAL
bateram	O
Chan	B-PESSOA_INDIVIDUAL
Yung-jan	I-PESSOA_INDIVIDUAL
e	O
Chuang	B-PESSOA_INDIVIDUAL
Chia-jung	I-PESSOA_INDIVIDUAL
(	O
Taiwan	B-LOCAL_HUMANO
)	O
,	O
por	O
6-4	B-VALOR_CLASSIFICACAO
e	O
6-2	B-VALOR_CLASSIFICACAO
.	O
Pacto	O
de	O
sangue	O
PASSAPORTE	O
BIOLÓGICO	O
EM	B-TEMPO_TEMPO_CALEND
2008	I-TEMPO_TEMPO_CALEND
O	B-TEMPO_GENERICO
ano	I-TEMPO_GENERICO
de	I-TEMPO_GENERICO
2008	I-TEMPO_GENERICO
promete	O
ser	O
aquele	O
em	O
que	O
tudo	O
se	O
fará	O
para	O
combater	O
o	O
flagelo	O
do	O
doping.	O
Pelo	O
menos	O
é	O
esta	O
a	O
intenção	O
de	O
vários	O
agentes	O
da	O
modalidade	O
que	O
criaram	O
,	O
para	O
tal	O
,	O
o	O
passaporte	O
biológico	O
,	O
a	O
designação	O
de	O
um	O
documento	O
electrónico	O
e	O
individual	O
na	O
qual	O
constarão	O
todos	O
os	O
resultados	O
dos	O
controlos	O
antidoping	O
à	O
urina	O
e	O
ao	O
sangue	O
efectuados	O
aos	O
ciclistas	O
,	O
assim	O
como	O
o	O
respectivo	O
perfil	O
hematológico.	O
O	O
cruzamento	O
destas	O
informações	O
permitirá	O
avaliar	O
as	O
variações	O
das	O
análises	O
e	O
,	O
consequentemente	O
,	O
detectar	O
se	O
houve	O
manipulação	O
de	O
sangue.	O
O	O
passaporte	O
biológico	O
é	O
o	O
resultado	O
de	O
uma	O
reunião	O
verificada	O
há	B-TEMPO_TEMPO_CALEND
alguns	I-TEMPO_TEMPO_CALEND
meses	I-TEMPO_TEMPO_CALEND
,	O
em	O
Paris	B-LOCAL_HUMANO
,	O
organizada	O
pelo	O
ministro	O
francês	O
da	O
Saúde	B-ABSTRACCAO_DISCIPLINA
,	O
o	O
ministro	O
francês	O
da	O
Saúde	B-ABSTRACCAO_DISCIPLINA
,	O
a	O
UCI	B-ORGANIZACAO_INSTITUICAO
e	O
a	O
Agência	B-ORGANIZACAO_INSTITUICAO
Mundial	I-ORGANIZACAO_INSTITUICAO
Antidopagem	I-ORGANIZACAO_INSTITUICAO
(	O
AMA	B-ORGANIZACAO_INSTITUICAO
)	O
.	O
O	O
objectivo	O
é	O
chegar	O
ao	O
Tour	B-ACONTECIMENTO_ORGANIZADO
com	O
o	O
passaporte	O
biológico	O
de	O
todos	O
os	O
possíveis	O
participantes	O
em	O
total	O
funcionamento	O
,	O
de	O
modo	O
a	O
evitarem-se	O
os	O
casos	O
de	O
doping	O
que	O
ocorreram	O
este	B-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
.	O
Contra-relógio	O
O	O
passaporte	O
biológico	O
abrange	O
todos	O
os	O
ciclistas	O
do	O
ProTour	B-ACONTECIMENTO_ORGANIZADO
,	O
onde	O
só	O
há	O
um	O
português	O
,	O
podendo	O
as	O
equipas	O
Continentais	B-PESSOA_GRUPOMEMBRO
Profissionais	I-PESSOA_GRUPOMEMBRO
,	O
na	O
qual	O
faz	O
parte	O
o	O
Benfica	B-PESSOA_GRUPOMEMBRO
,	O
serem	O
também	O
abrangidas.	O
Ao	O
todo	O
,	O
o	O
grupo	O
de	O
trabalho	O
prevê	O
fazer	O
4.200	B-VALOR_QUANTIDADE
análises	O
ao	O
sangue	O
--	O
seis	O
por	O
cada	O
ciclista	O
do	O
ProTour	B-ACONTECIMENTO_ORGANIZADO
--	O
,	O
mais	O
3.700	B-VALOR_QUANTIDADE
do	O
que	O
em	B-TEMPO_TEMPO_CALEND
2007	I-TEMPO_TEMPO_CALEND
.	O
Em	O
suma	O
,	O
a	O
UCI	B-ORGANIZACAO_INSTITUICAO
quer	O
controlar	O
em	B-TEMPO_TEMPO_CALEND
2008	I-TEMPO_TEMPO_CALEND
cada	O
ciclista	O
por	B-TEMPO_FREQUENCIA
12	I-TEMPO_FREQUENCIA
vezes	I-TEMPO_FREQUENCIA
--	O
às	O
análises	O
de	O
sangue	O
juntam-se	O
às	O
da	O
urina	O
--	O
,	O
na	O
sua	O
maioria	O
inopinadas	O
,	O
devendo	O
gastar	O
,	O
com	O
todo	O
o	O
programa	O
do	O
passaporte	O
biológico	O
,	O
qualquer	O
coisa	O
como	O
6	B-VALOR_MOEDA
milhões	I-VALOR_MOEDA
de	I-VALOR_MOEDA
euros	I-VALOR_MOEDA
,	O
contra	O
1	B-VALOR_MOEDA
milhão	I-VALOR_MOEDA
gasto	O
este	B-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
.	O
Em	O
que	O
escola	O
estuda	O
o	O
Harry	B-PESSOA_INDIVIDUAL
Potter	I-PESSOA_INDIVIDUAL
?	O
Qual	O
a	O
divisa	O
da	O
escola	O
?	O
Em	O
quantas	O
casas	O
está	O
dividida	O
?	O
Quem	O
é	O
o	O
director	O
da	O
escola	O
?	O
Como	O
são	O
os	O
peixes-espada	O
?	O
Qual	O
é	O
o	O
recorde	O
da	O
IGFA	B-ORGANIZACAO_INSTITUICAO
para	O
este	O
tipo	O
de	O
peixe	O
?	O
Quando	O
nasceu	O
Amintore	B-PESSOA_INDIVIDUAL
Fanfani	I-PESSOA_INDIVIDUAL
?	O
E	O
aonde	O
nasceu	O
?	O
Quem	O
foi	O
Le	B-PESSOA_INDIVIDUAL
Corbusier	I-PESSOA_INDIVIDUAL
?	O
Qual	O
era	O
o	O
seu	O
verdadeiro	O
nome	O
?	O
Quem	O
era	O
Flaubert	B-PESSOA_INDIVIDUAL
?	O
Em	O
que	O
ano	O
publicou	O
«	O
Bouvard	B-OBRA_REPRODUZIDA
e	I-OBRA_REPRODUZIDA
Pécuchet	I-OBRA_REPRODUZIDA
»	O
?	O
Lista	O
todas	O
as	O
suas	O
obras.	O
O	O
que	O
foi	O
a	O
Revolução	B-ACONTECIMENTO_EFEMERIDE
de	I-ACONTECIMENTO_EFEMERIDE
Veludo	I-ACONTECIMENTO_EFEMERIDE
?	O
O	O
que	O
foi	O
a	O
Revolução	B-ACONTECIMENTO_EFEMERIDE
dos	I-ACONTECIMENTO_EFEMERIDE
Cravos	I-ACONTECIMENTO_EFEMERIDE
?	O
Quem	O
foi	O
António	B-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Oliveira	I-PESSOA_INDIVIDUAL
Salazar	I-PESSOA_INDIVIDUAL
?	O
Quem	O
compôs	O
a	O
canção	O
``	O
Grândola	B-OBRA_REPRODUZIDA
,	I-OBRA_REPRODUZIDA
Vila	I-OBRA_REPRODUZIDA
Morena	I-OBRA_REPRODUZIDA
''	O
?	O
Onde	O
foi	O
fabricado	O
Bender	B-COISA_OBJECTO
Bending	I-COISA_OBJECTO
Rodriguez	I-COISA_OBJECTO
?	O
Quem	O
é	O
Philip	B-PESSOA_INDIVIDUAL
J	I-PESSOA_INDIVIDUAL
.	I-PESSOA_INDIVIDUAL
Fry	I-PESSOA_INDIVIDUAL
?	O
Quem	O
foi	O
Hermann	B-PESSOA_INDIVIDUAL
Emil	I-PESSOA_INDIVIDUAL
Fischer	I-PESSOA_INDIVIDUAL
?	O
Quem	O
prémio	O
é	O
que	O
ele	O
recebeu	O
em	B-TEMPO_TEMPO_CALEND
1902	I-TEMPO_TEMPO_CALEND
?	O
Quem	O
recebeu	O
o	O
Prémio	O
Nobel	O
da	O
Literatura	O
nesse	B-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
?	O
Quem	O
era	O
Bertha	B-PESSOA_INDIVIDUAL
von	I-PESSOA_INDIVIDUAL
Suttner	I-PESSOA_INDIVIDUAL
?	O
Quem	O
foi	O
Marco	B-PESSOA_INDIVIDUAL
Pantani	I-PESSOA_INDIVIDUAL
?	O
Qual	O
era	O
a	O
sua	O
alcunha	O
?	O
Quem	O
foi	O
Juan	B-PESSOA_INDIVIDUAL
Manuel	I-PESSOA_INDIVIDUAL
Fangio	I-PESSOA_INDIVIDUAL
?	O
O	O
que	O
é	O
a	O
obsidiana	O
?	O
O	O
que	O
é	O
uma	O
``	O
macana	O
''	O
?	O
O	O
que	O
é	O
um	O
buraco	O
negro	O
?	O
O	O
que	O
é	O
a	O
realidade	O
virtual	O
?	O
O	O
que	O
é	O
o	O
pasodoble	O
?	O
O	O
que	O
é	O
a	O
tarantela	O
?	O
O	O
que	O
á	O
a	O
Arca	O
de	O
Noé	O
?	O
O	O
que	O
é	O
um	O
tacógrafo	O
?	O
O	O
que	O
é	O
um	O
odómetro	O
?	O
O	O
que	O
é	O
um	O
kinnor	O
?	O
O	O
que	O
é	O
o	O
INTASAT	O
O	O
que	O
é	O
que	O
era	O
o	O
Rainbow	B-COISA_OBJECTO
Warrior	I-COISA_OBJECTO
?	O
Quem	O
é	O
que	O
o	O
afundou	O
em	B-TEMPO_TEMPO_CALEND
1985	I-TEMPO_TEMPO_CALEND
?	O
Para	O
que	O
serve	O
um	O
draga-minas	O
?	O
O	O
que	O
é	O
a	O
INTELSAT	O
?	O
O	O
que	O
é	O
uma	O
Organização	B-ABSTRACCAO_IDEIA
Não-Governamental	I-ABSTRACCAO_IDEIA
?	O
O	O
que	O
era	O
a	O
Gestapo	B-ORGANIZACAO_INSTITUICAO
?	O
Quantos	O
membros	O
tinha	O
durante	O
a	O
Segunda	B-ACONTECIMENTO_EFEMERIDE
Grande	I-ACONTECIMENTO_EFEMERIDE
Guerra	I-ACONTECIMENTO_EFEMERIDE
?	O
O	O
que	O
é	O
a	O
Organização	B-ORGANIZACAO_INSTITUICAO
Internacional	I-ORGANIZACAO_INSTITUICAO
da	I-ORGANIZACAO_INSTITUICAO
Normalização	I-ORGANIZACAO_INSTITUICAO
?	O
O	O
que	O
era	O
a	O
Mão	O
Negra	O
?	O
Qual	O
a	O
função	O
da	O
Organização	B-ORGANIZACAO_INSTITUICAO
Meteorológica	I-ORGANIZACAO_INSTITUICAO
Mundial	I-ORGANIZACAO_INSTITUICAO
?	O
Qual	O
é	O
a	O
responsabilidade	O
da	O
ONUDI	B-ORGANIZACAO_INSTITUICAO
?	O
A	O
que	O
se	O
dedica	O
a	O
Industrial	O
Light	O
and	O
Magic	O
?	O
Em	O
que	O
país	O
fica	O
Çatal	O
Hüyük	O
?	O
Em	O
que	O
mar	O
desagua	O
o	O
rio	O
Orentes	B-LOCAL_FISICO
?	O
Em	O
que	O
país	O
fica	O
a	O
Muralha	B-LOCAL_HUMANO
de	I-LOCAL_HUMANO
Adriano	I-LOCAL_HUMANO
?	O
Onde	O
é	O
que	O
trabalha	O
o	O
Homer	B-PESSOA_INDIVIDUAL
Simpson	I-PESSOA_INDIVIDUAL
?	O
Em	O
que	O
país	O
fica	O
Minas	O
Gerais	O
?	O
De	O
onde	O
é	O
típica	O
a	O
ensaimada	O
?	O
Em	O
que	O
cidade	O
nasceu	O
Natalie	B-PESSOA_INDIVIDUAL
Hershlag	I-PESSOA_INDIVIDUAL
?	O
Quem	O
é	O
o	O
prefeito	O
dessa	O
cidade	O
?	O
Quem	O
desenhou	O
o	O
processador	O
Zilog	B-COISA_CLASSE
Z80	I-COISA_CLASSE
?	O
De	O
quantos	O
bits	O
era	O
este	O
processador	O
?	O
Como	O
se	O
chamam	O
os	O
pais	O
de	O
Luke	B-PESSOA_INDIVIDUAL
Skywalker	I-PESSOA_INDIVIDUAL
?	O
Que	O
paises	O
entraram	O
na	O
União	B-ORGANIZACAO_ADMINISTRACAO
Europeia	I-ORGANIZACAO_ADMINISTRACAO
a	B-TEMPO_TEMPO_CALEND
1	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Janeiro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1995	I-TEMPO_TEMPO_CALEND
?	O
Quem	O
é	O
a	O
rainha	B-PESSOA_CARGO
da	I-PESSOA_CARGO
Austrália	I-PESSOA_CARGO
?	O
Quem	O
era	O
o	O
papa	O
quando	O
se	O
realizou	O
o	O
Concílio	B-ACONTECIMENTO_EFEMERIDE
de	I-ACONTECIMENTO_EFEMERIDE
Clermont	I-ACONTECIMENTO_EFEMERIDE
?	O
Que	O
actor	O
faz	O
de	O
Chewbacca	B-PESSOA_INDIVIDUAL
?	O
Como	O
se	O
chama	O
o	O
deus	O
grego	O
da	O
Medicina	B-ABSTRACCAO_DISCIPLINA
?	O
Quem	O
foi	O
o	O
realizador	O
de	O
Nosferatu	B-OBRA_REPRODUZIDA
?	O
E	O
quem	O
era	O
o	O
actor	O
principal	O
?	O
Quem	O
é	O
o	O
secretário-geral	O
da	O
UGT	B-ORGANIZACAO_INSTITUICAO
?	O
Quando	O
é	O
que	O
foi	O
o	O
atentado	O
terrorista	O
contra	O
a	O
AMIA	B-ORGANIZACAO_INSTITUICAO
?	O
Quantas	O
pessoas	O
morreram	O
nesse	O
ataque	O
?	O
Quando	O
é	O
que	O
morreu	O
Federica	B-PESSOA_INDIVIDUAL
Montseny	I-PESSOA_INDIVIDUAL
?	O
Em	O
que	O
dia	O
se	O
realizou	O
o	O
assalto	O
ao	O
rancho	O
do	O
davidianos	O
em	O
Waco	B-LOCAL_HUMANO
?	O
Em	O
que	O
ano	O
é	O
que	O
o	O
Real	B-PESSOA_GRUPOMEMBRO
Zaragoza	I-PESSOA_GRUPOMEMBRO
ganhou	O
a	O
Taça	B-ACONTECIMENTO_ORGANIZADO
das	I-ACONTECIMENTO_ORGANIZADO
Taças	I-ACONTECIMENTO_ORGANIZADO
?	O
Em	O
que	O
ano	O
foi	O
inaugurado	O
o	O
AVE	B-COISA_OBJECTO
Madrid-Sevilha	I-COISA_OBJECTO
?	O
Em	O
que	O
data	O
é	O
que	O
o	O
Corte	B-ORGANIZACAO_EMPRESA
Inglês	I-ORGANIZACAO_EMPRESA
comprou	O
as	O
Galerias	B-ORGANIZACAO_EMPRESA
Preciados	I-ORGANIZACAO_EMPRESA
?	O
Em	O
que	O
dia	O
foi	O
assassinado	O
Rajiv	B-PESSOA_INDIVIDUAL
Gandhi	I-PESSOA_INDIVIDUAL
?	O
Que	O
quatro	O
